Semester,Year,Repository,Action,Author,Repo_ID,Assignees,Close_date,Closed_by,Request_Status,Reviewers,Review_Recommendation,Tagged,week
Fall,2020,t0037,issue,p0230,5,p0001,2020-12-11T21:38:22.000Z,N/A,closed,N/A,N/A,N/A,1
Fall,2020,t0037,issue,p0330,6,p0001;p0330,N/A,N/A,open,N/A,N/A,N/A,1
Spring,2019,t0075,issue,p0002,25,p0002,2019-04-27T04:04:19.000Z,N/A,closed,N/A,N/A,N/A,12
Spring,2019,t0075,issue,p0002,24,p0002,N/A,N/A,open,N/A,N/A,N/A,9
Spring,2019,t0075,issue,p0002,22,p0002,2019-04-03T23:27:52.000Z,N/A,closed,N/A,N/A,N/A,9
Spring,2019,t0075,issue,p0002,19,p0002,2019-03-25T18:45:46.000Z,N/A,closed,N/A,N/A,N/A,7
Spring,2019,t0075,issue,p0002,17,p0002,N/A,N/A,open,N/A,N/A,N/A,5
Spring,2019,t0075,issue,p0002,15,p0002,2019-04-01T20:27:16.000Z,N/A,closed,N/A,N/A,N/A,5
Spring,2019,t0075,issue,p0002,13,p0002,2019-03-13T19:18:25.000Z,N/A,closed,N/A,N/A,N/A,4
Spring,2019,t0075,issue,p0002,11,p0002,2019-02-25T20:33:55.000Z,N/A,closed,N/A,N/A,N/A,3
Spring,2019,t0075,issue,p0354,9,p0002,2019-03-01T07:02:29.000Z,N/A,closed,N/A,N/A,N/A,3
Spring,2019,t0075,issue,p0002,6,p0002,N/A,N/A,open,N/A,N/A,N/A,2
Spring,2019,t0075,issue,p0002,26,p0002;p0295,2019-05-09T03:05:41.000Z,N/A,closed,N/A,N/A,N/A,14
Spring,2019,t0075,issue,p0002,12,p0002;p0295,N/A,N/A,open,N/A,N/A,N/A,3
Spring,2019,t0075,issue,p0354,8,p0002;p0295,2019-02-25T20:34:08.000Z,N/A,closed,N/A,N/A,N/A,2
Spring,2024,t0001,issue,p0183,39,p0183,2024-05-07T02:20:11.000Z,N/A,closed,N/A,N/A,N/A,9
Spring,2024,t0001,issue,p0183,38,p0183,2024-05-06T20:07:18.000Z,N/A,closed,N/A,N/A,N/A,9
Spring,2024,t0001,issue,p0183,23,p0183,2024-04-07T01:17:10.000Z,N/A,closed,N/A,N/A,N/A,5
Spring,2024,t0001,issue,p0183,22,p0183,2024-04-10T18:57:08.000Z,N/A,closed,N/A,N/A,N/A,5
Spring,2024,t0001,issue,p0406,18,p0183,2024-04-07T01:17:25.000Z,N/A,closed,N/A,N/A,N/A,4
Spring,2023,t0064,issue,p0399,21,p0184,2023-03-22T19:12:50.000Z,N/A,closed,N/A,N/A,N/A,4
Spring,2023,t0064,issue,p0399,5,p0184;p0072,2023-04-09T21:47:05.000Z,N/A,closed,N/A,N/A,N/A,3
Fall,2023,t0086,issue,p0185,20,p0185,N/A,N/A,open,N/A,N/A,N/A,4
Fall,2023,t0086,issue,p0185,9,p0185,2023-09-18T04:28:47.000Z,N/A,closed,N/A,N/A,N/A,1
Fall,2023,t0086,issue,p0185,2,p0185,2023-09-13T21:20:51.000Z,N/A,closed,N/A,N/A,N/A,1
Fall,2023,t0086,issue,p0185,18,p0185;p0474,N/A,N/A,open,N/A,N/A,N/A,4
Spring,2023,t0022,issue,p0063,31,p0186,N/A,N/A,open,N/A,N/A,N/A,7
Spring,2023,t0022,issue,p0186,20,p0186,N/A,N/A,open,N/A,N/A,N/A,5
Spring,2023,t0022,issue,p0186,18,p0186,2023-04-10T04:34:13.000Z,N/A,closed,N/A,N/A,N/A,5
Spring,2023,t0022,issue,p0186,16,p0186,N/A,N/A,open,N/A,N/A,N/A,2
Spring,2023,t0022,issue,p0186,11,p0186,2023-03-06T01:09:32.000Z,N/A,closed,N/A,N/A,N/A,2
Spring,2023,t0022,issue,p0186,3,p0186,N/A,N/A,open,N/A,N/A,N/A,1
Spring,2024,t0085,issue,p0210,12,p0189,N/A,N/A,open,N/A,N/A,N/A,4
Spring,2024,t0085,issue,p0210,2,p0189,N/A,N/A,open,N/A,N/A,N/A,1
Fall,2023,t0057,issue,p0190,20,p0190,2023-12-10T02:03:44.000Z,N/A,closed,N/A,N/A,N/A,5
Fall,2023,t0057,issue,p0257,1,p0190,N/A,N/A,open,N/A,N/A,N/A,1
Spring,2020,t0084,issue,p0192,24,p0192,2020-04-01T05:27:15.000Z,N/A,closed,N/A,N/A,N/A,5
Spring,2020,t0084,issue,p0192,23,p0192,2020-03-29T06:47:36.000Z,N/A,closed,N/A,N/A,N/A,5
Spring,2020,t0084,issue,p0383,22,p0192,N/A,N/A,open,N/A,N/A,N/A,5
Spring,2020,t0084,issue,p0383,12,p0192,N/A,N/A,open,N/A,N/A,N/A,5
Spring,2020,t0084,issue,p0383,11,p0192,N/A,N/A,open,N/A,N/A,N/A,5
Spring,2020,t0084,issue,p0383,10,p0192,N/A,N/A,open,N/A,N/A,N/A,5
Spring,2020,t0084,issue,p0383,6,p0192,2020-04-01T03:35:37.000Z,N/A,closed,N/A,N/A,N/A,5
Spring,2020,t0084,issue,p0383,3,p0192,2020-04-01T23:04:18.000Z,N/A,closed,N/A,N/A,N/A,2
Spring,2023,t0067,issue,p0257,12,p0003;p0194,N/A,N/A,open,N/A,N/A,N/A,1
Spring,2023,t0067,issue,p0257,4,p0003;p0194,N/A,N/A,open,N/A,N/A,N/A,1
Fall,2023,t0051,issue,p0351,45,p0195,2023-12-01T18:28:02.000Z,N/A,closed,N/A,N/A,N/A,10
Fall,2023,t0051,issue,p0253,41,p0195,N/A,N/A,open,N/A,N/A,N/A,9
Fall,2023,t0051,issue,p0253,19,p0195,2023-10-31T20:40:54.000Z,N/A,closed,N/A,N/A,N/A,3
Fall,2023,t0051,issue,p0253,10,p0195,2023-12-11T08:05:39.000Z,N/A,closed,N/A,N/A,N/A,3
Fall,2023,t0051,issue,p0253,53,p0195;p0351,N/A,N/A,open,N/A,N/A,N/A,12
Spring,2024,t0001,issue,p0183,37,p0196,N/A,N/A,open,N/A,N/A,N/A,9
Spring,2024,t0001,issue,p0183,36,p0196,2024-04-19T21:29:32.000Z,N/A,closed,N/A,N/A,N/A,9
Spring,2024,t0001,issue,p0196,25,p0196,2024-04-08T18:34:43.000Z,N/A,closed,N/A,N/A,N/A,5
Spring,2024,t0001,issue,p0196,24,p0196,2024-04-08T18:34:16.000Z,N/A,closed,N/A,N/A,N/A,5
Fall,2019,t0069,issue,p0197,14,p0197,N/A,N/A,open,N/A,N/A,N/A,4
Fall,2019,t0069,issue,p0197,6,p0197,2019-11-04T00:09:50.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2019,t0076,issue,p0386,5,p0198,2019-02-21T03:56:39.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2019,t0076,issue,p0081,8,p0198;p0203,2019-04-11T02:02:21.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2022,t0079,issue,p0082,9,p0012;p0175,2022-05-11T18:02:00.000Z,N/A,closed,N/A,N/A,N/A,1
Fall,2022,t0063,issue,p0234,2,p0011;p0234,2022-12-13T19:08:43.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2023,t0028,issue,p0426,42,p0201,2023-05-15T01:45:01.000Z,N/A,closed,N/A,N/A,N/A,5
Spring,2023,t0028,issue,p0426,24,p0201,2023-03-08T20:19:51.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2023,t0028,issue,p0201,7,p0201,N/A,N/A,open,N/A,N/A,N/A,1
Spring,2023,t0028,issue,p0201,6,p0201,N/A,N/A,open,N/A,N/A,N/A,1
Spring,2022,t0013,issue,p0202,30,p0202,2022-05-13T19:15:14.000Z,N/A,closed,N/A,N/A,N/A,7
Spring,2022,t0013,issue,p0202,11,p0202,N/A,N/A,open,N/A,N/A,N/A,1
Spring,2022,t0013,issue,p0202,16,p0202;p0423,2022-04-06T22:11:34.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2022,t0013,issue,p0202,27,p0202;p0481,2022-04-06T22:15:14.000Z,N/A,closed,N/A,N/A,N/A,7
Spring,2022,t0013,issue,p0202,6,p0202;p0481,2022-05-13T19:15:06.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2019,t0076,issue,p0203,24,p0203,2019-04-29T06:01:33.000Z,N/A,closed,N/A,N/A,N/A,12
Spring,2019,t0076,issue,p0386,17,p0203,2019-04-08T20:04:47.000Z,N/A,closed,N/A,N/A,N/A,3
Spring,2019,t0076,issue,p0198,3,p0203,2019-02-21T03:52:09.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2019,t0076,issue,p0301,19,p0203;p0081,N/A,N/A,open,N/A,N/A,N/A,3
Spring,2019,t0076,issue,p0203,2,p0203;p0081,2019-02-28T18:54:11.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2023,t0065,issue,p0021,5,p0014,N/A,N/A,open,N/A,N/A,N/A,1
Fall,2023,t0051,issue,p0014,61,p0014;p0351,2023-12-10T22:57:20.000Z,N/A,closed,N/A,N/A,N/A,13
Fall,2023,t0051,issue,p0253,18,p0014;p0351,2023-12-07T05:41:12.000Z,N/A,closed,N/A,N/A,N/A,3
Fall,2023,t0051,issue,p0253,15,p0014;p0351,2023-12-10T22:57:21.000Z,N/A,closed,N/A,N/A,N/A,3
Spring,2019,t0094,issue,p0187,15,p0206;p0284,N/A,N/A,open,N/A,N/A,N/A,4
Spring,2019,t0094,issue,p0187,10,p0206;p0284,N/A,N/A,open,N/A,N/A,N/A,1
Spring,2019,t0094,issue,p0187,13,p0206;p0355,2019-03-04T21:19:16.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2019,t0094,issue,p0433,2,p0206;p0355,N/A,N/A,open,N/A,N/A,N/A,1
Spring,2019,t0094,issue,p0187,17,p0206;p0355;p0433;p0187,N/A,N/A,open,N/A,N/A,N/A,6
Spring,2019,t0094,issue,p0206,21,p0206;p0433,N/A,N/A,open,N/A,N/A,N/A,11
Spring,2023,t0053,issue,p0307,12,p0209,N/A,N/A,open,N/A,N/A,N/A,3
Spring,2023,t0053,issue,p0307,8,p0209,N/A,N/A,open,N/A,N/A,N/A,3
Spring,2023,t0053,issue,p0307,5,p0209,N/A,N/A,open,N/A,N/A,N/A,3
Fall,2022,t0063,issue,p0234,25,p0212,2022-10-28T21:06:08.000Z,N/A,closed,N/A,N/A,N/A,4
Fall,2022,t0063,issue,p0212,12,p0212,2022-10-07T22:35:48.000Z,N/A,closed,N/A,N/A,N/A,2
Fall,2022,t0063,issue,p0212,9,p0212,2022-10-05T19:09:27.000Z,N/A,closed,N/A,N/A,N/A,2
Fall,2022,t0063,issue,p0234,24,p0212;p0011;p0285;p0234,2022-12-12T02:53:29.000Z,N/A,closed,N/A,N/A,N/A,4
Fall,2022,t0063,issue,p0234,22,p0212;p0234,2022-12-12T04:37:43.000Z,N/A,closed,N/A,N/A,N/A,4
Fall,2022,t0063,issue,p0285,63,p0212;p0285;p0234,2022-12-12T04:40:32.000Z,N/A,closed,N/A,N/A,N/A,14
Spring,2020,t0081,issue,p0214,10,p0214,2020-05-11T02:01:04.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2020,t0081,issue,p0232,46,p0214;p0232,2020-04-24T02:18:41.000Z,N/A,closed,N/A,N/A,N/A,9
Spring,2020,t0081,issue,p0214,9,p0214;p0232;p0362,2020-05-11T05:26:47.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2020,t0081,issue,p0214,23,p0214;p0362,N/A,N/A,open,N/A,N/A,N/A,3
Spring,2020,t0024,issue,p0211,5,p0215,2020-05-11T01:02:23.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2020,t0024,issue,p0211,6,p0215;p0020,2020-05-11T01:02:23.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2020,t0024,pull_request,p0020,20,p0215;p0262;p0211,2020-04-26T22:54:48.000Z,N/A,closed,,N/A,N/A,10
Spring,2020,t0024,issue,p0211,13,p0215;p0262;p0020,2020-05-11T01:02:24.000Z,N/A,closed,N/A,N/A,N/A,6
Spring,2020,t0024,issue,p0211,8,p0215;p0262;p0020;p0211,2020-05-11T01:02:24.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2020,t0024,issue,p0211,7,p0215;p0262;p0020;p0211,2020-05-11T01:02:23.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2020,t0024,issue,p0211,1,p0215;p0262;p0020;p0211,2020-05-11T01:02:22.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2020,t0054,issue,p0037,44,p0018,2020-04-26T23:19:30.000Z,N/A,closed,N/A,N/A,N/A,9
Spring,2020,t0054,issue,p0360,43,p0018,2020-04-26T23:11:39.000Z,N/A,closed,N/A,N/A,N/A,9
Spring,2020,t0054,issue,p0037,28,p0018,2020-04-06T19:29:16.000Z,N/A,closed,N/A,N/A,N/A,4
Spring,2020,t0054,issue,p0360,24,p0018,2020-04-06T19:29:15.000Z,N/A,closed,N/A,N/A,N/A,4
Spring,2020,t0054,issue,p0360,23,p0018,2020-03-20T02:50:44.000Z,N/A,closed,N/A,N/A,N/A,4
Spring,2020,t0054,issue,p0360,22,p0018,2020-03-20T02:51:13.000Z,N/A,closed,N/A,N/A,N/A,4
Spring,2020,t0054,issue,p0360,15,p0018,2020-03-04T21:50:40.000Z,N/A,closed,N/A,N/A,N/A,4
Spring,2020,t0054,issue,p0360,53,p0018;p0360,N/A,N/A,open,N/A,N/A,N/A,11
Spring,2020,t0054,issue,p0360,6,p0018;p0360,2020-04-28T07:45:18.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2020,t0054,issue,p0018,42,p0018;p0169,2020-04-29T05:28:56.000Z,N/A,closed,N/A,N/A,N/A,9
Spring,2020,t0034,issue,p0312,21,p0217,N/A,N/A,open,N/A,N/A,N/A,3
Fall,2019,t0040,issue,p0460,4,p0218,2019-12-04T23:27:50.000Z,N/A,closed,N/A,N/A,N/A,1
Fall,2019,t0040,issue,p0460,1,p0218,2019-12-04T23:26:23.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2019,t0082,issue,p0254,19,p0219,N/A,N/A,open,N/A,N/A,N/A,6
Spring,2020,t0024,issue,p0020,19,p0020,2020-05-11T01:02:24.000Z,N/A,closed,N/A,N/A,N/A,9
Spring,2023,t0017,issue,p0371,2,p0220,N/A,N/A,open,N/A,N/A,N/A,1
Spring,2020,t0084,issue,p0383,13,p0221,N/A,N/A,open,N/A,N/A,N/A,5
Spring,2020,t0084,issue,p0383,8,p0221,2020-03-30T20:37:23.000Z,N/A,closed,N/A,N/A,N/A,5
Spring,2020,t0084,issue,p0383,7,p0221,2020-03-30T20:37:22.000Z,N/A,closed,N/A,N/A,N/A,5
Spring,2020,t0084,issue,p0383,2,p0221,2020-04-01T23:04:18.000Z,N/A,closed,N/A,N/A,N/A,2
Spring,2023,t0065,issue,p0021,44,p0021,2023-04-23T19:02:54.000Z,N/A,closed,N/A,N/A,N/A,10
Spring,2023,t0065,issue,p0021,37,p0021,2023-04-23T19:02:53.000Z,N/A,closed,N/A,N/A,N/A,9
Spring,2023,t0065,issue,p0021,32,p0021,2023-04-10T19:13:52.000Z,N/A,closed,N/A,N/A,N/A,8
Spring,2023,t0065,issue,p0021,28,p0021,2023-04-10T19:13:52.000Z,N/A,closed,N/A,N/A,N/A,7
Spring,2023,t0065,issue,p0021,18,p0021,2023-03-27T18:06:01.000Z,N/A,closed,N/A,N/A,N/A,4
Spring,2023,t0065,issue,p0021,24,p0021;p0014,N/A,N/A,open,N/A,N/A,N/A,6
Fall,2020,t0018,issue,p0222,19,p0222,N/A,N/A,open,N/A,N/A,N/A,7
Fall,2020,t0018,issue,p0126,7,p0222,N/A,N/A,open,N/A,N/A,N/A,2
Fall,2020,t0018,issue,p0126,1,p0222,N/A,N/A,open,N/A,N/A,N/A,1
Fall,2020,t0018,issue,p0126,6,p0222;p0335,N/A,N/A,open,N/A,N/A,N/A,1
Spring,2024,t0032,issue,p0152,24,p0223,N/A,N/A,open,N/A,N/A,N/A,4
Spring,2024,t0032,issue,p0152,7,p0223;p0273,N/A,N/A,open,N/A,N/A,N/A,1
Fall,2020,t0066,issue,p0237,36,p0022,2020-11-29T22:30:44.000Z,N/A,closed,N/A,N/A,N/A,7
Fall,2020,t0066,issue,p0022,15,p0022,2020-11-29T22:30:44.000Z,N/A,closed,N/A,N/A,N/A,1
Fall,2020,t0066,issue,p0237,2,p0022,2020-10-16T17:05:27.000Z,N/A,closed,N/A,N/A,N/A,1
Fall,2020,t0066,issue,p0022,8,p0022;p0025;p0237;p0464,2020-10-04T20:53:50.000Z,N/A,closed,N/A,N/A,N/A,1
Fall,2020,t0066,issue,p0022,3,p0022;p0025;p0237;p0464,2020-10-02T17:55:25.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2020,t0029,issue,p0245,10,p0224,2020-03-26T01:30:44.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2020,t0029,issue,p0245,7,p0224,N/A,N/A,open,N/A,N/A,N/A,1
Fall,2019,t0070,issue,p0328,21,p0225,2019-12-07T05:07:33.000Z,N/A,closed,N/A,N/A,N/A,5
Fall,2019,t0070,issue,p0390,7,p0225,2019-12-17T19:35:41.000Z,N/A,closed,N/A,N/A,N/A,3
Spring,2022,t0090,issue,p0226,3,p0226,2022-04-27T20:14:26.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2022,t0090,issue,p0226,29,p0226;p0391,N/A,N/A,open,N/A,N/A,N/A,10
Spring,2020,t0012,issue,p0440,5,p0023;p0363,2020-05-05T06:13:18.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2020,t0012,issue,p0440,4,p0023;p0363,2020-05-05T06:13:18.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2024,t0085,issue,p0210,10,p0227,2024-05-15T08:54:30.000Z,N/A,closed,N/A,N/A,N/A,4
Spring,2024,t0085,issue,p0210,13,p0227;p0134,N/A,N/A,open,N/A,N/A,N/A,4
Fall,2020,t0066,issue,p0237,49,p0025,2020-12-07T20:07:36.000Z,N/A,closed,N/A,N/A,N/A,9
Fall,2020,t0066,issue,p0022,39,p0025,2020-11-15T01:52:37.000Z,N/A,closed,N/A,N/A,N/A,7
Fall,2020,t0066,issue,p0025,29,p0025,2020-11-02T20:55:10.000Z,N/A,closed,N/A,N/A,N/A,5
Fall,2020,t0066,issue,p0022,6,p0025,2020-10-17T01:37:13.000Z,N/A,closed,N/A,N/A,N/A,1
Fall,2019,t0026,issue,p0424,34,p0228;p0421,N/A,N/A,open,N/A,N/A,N/A,6
Fall,2019,t0026,issue,p0424,8,p0228;p0421,2019-12-08T20:04:26.000Z,N/A,closed,N/A,N/A,N/A,1
Fall,2023,t0007,pull_request,p0402,17,p0026,2023-12-05T16:14:47.000Z,N/A,closed,,N/A,N/A,12
Fall,2023,t0007,issue,p0026,8,p0026,N/A,N/A,open,N/A,N/A,N/A,1
Fall,2020,t0008,issue,p0229,37,p0229,2020-11-23T23:42:41.000Z,N/A,closed,N/A,N/A,N/A,9
Fall,2020,t0008,issue,p0229,36,p0229,2020-11-23T23:42:42.000Z,N/A,closed,N/A,N/A,N/A,9
Fall,2020,t0008,issue,p0229,30,p0229,2020-10-31T22:50:13.000Z,N/A,closed,N/A,N/A,N/A,6
Fall,2020,t0008,issue,p0229,28,p0229,2020-11-23T23:42:42.000Z,N/A,closed,N/A,N/A,N/A,5
Fall,2020,t0008,issue,p0229,27,p0229,2020-11-15T22:33:46.000Z,N/A,closed,N/A,N/A,N/A,4
Fall,2020,t0008,issue,p0229,24,p0229,2020-10-21T19:52:06.000Z,N/A,closed,N/A,N/A,N/A,4
Fall,2020,t0008,issue,p0229,22,p0229,2020-11-16T06:26:32.000Z,N/A,closed,N/A,N/A,N/A,3
Fall,2020,t0008,issue,p0229,6,p0229,2020-11-16T06:26:32.000Z,N/A,closed,N/A,N/A,N/A,1
