Your Team,classification
t0001,Balanced
t0002,High-performing
t0003,High-performing
t0004,High-performing
t0005,High-performing
t0006,Balanced
t0007,Balanced
t0008,High-performing
t0009,High-performing
t0010,High-performing
t0011,Balanced
t0012,High-performing
t0013,High-performing
t0014,Struggling
t0015,Balanced
t0016,Balanced
t0017,Balanced
t0018,High-performing
t0019,Balanced
t0020,Balanced
t0021,Balanced
t0022,Balanced
t0023,Balanced
t0024,High-performing
t0025,High-performing
t0026,High-performing
t0027,Balanced
t0028,Balanced
t0029,Balanced
t0030,High-performing
t0031,Balanced
t0032,Balanced
t0033,Balanced
t0034,Balanced
t0035,Balanced
t0036,Balanced
t0037,Struggling
t0038,Balanced
t0039,High-performing
t0040,Balanced
t0041,Balanced
t0042,Struggling
t0043,High-performing
t0044,Balanced
t0045,Balanced
t0046,High-performing
t0047,High-performing
t0048,Balanced
t0049,High-performing
t0050,Balanced
t0051,Balanced
t0052,Balanced
t0053,Balanced
t0054,High-performing
t0055,High-performing
t0056,Balanced
t0057,Balanced
t0058,Balanced
t0059,High-performing
t0060,High-performing
t0061,Balanced
t0062,High-performing
t0063,High-performing
t0064,Balanced
t0065,Balanced
t0066,Balanced
t0067,Balanced
t0068,High-performing
t0069,High-performing
t0070,Balanced
t0071,Struggling
t0072,Balanced
t0073,Balanced
t0074,Balanced
t0075,Struggling
t0076,Balanced
t0077,Balanced
t0078,Balanced
t0079,High-performing
t0080,Balanced
t0081,High-performing
t0082,High-performing
t0083,Balanced
t0084,High-performing
t0085,Balanced
t0086,Balanced
t0087,Balanced
t0088,Balanced
t0089,Balanced
t0090,Balanced
t0091,Struggling
t0092,Balanced
t0093,Balanced
t0094,High-performing
